,datetime,precip_in
802,09/09/1960,NA
803,09/10/1960,NA
804,09/11/1960,NA
805,09/12/1960,NA
806,09/13/1960,NA
807,09/14/1960,NA
808,09/15/1960,NA
809,09/16/1960,NA
810,09/17/1960,NA
811,09/18/1960,NA
812,09/19/1960,NA
813,09/20/1960,NA
814,09/21/1960,NA
815,09/22/1960,NA
816,09/23/1960,NA
817,09/24/1960,NA
818,09/25/1960,NA
819,09/26/1960,NA
820,09/27/1960,NA
821,09/28/1960,NA
822,09/29/1960,NA
823,09/30/1960,NA
824,10/01/1960,NA
825,10/02/1960,0.25
826,10/03/1960,NA
827,10/04/1960,NA
828,10/05/1960,NA
829,10/06/1960,NA
830,10/07/1960,0.5
831,10/08/1960,NA
832,10/09/1960,NA
833,10/10/1960,NA
834,10/11/1960,NA
835,10/12/1960,2.3
836,10/13/1960,NA
837,10/14/1960,NA
838,10/15/1960,NA
839,10/16/1960,0.5
840,10/17/1960,NA
841,10/18/1960,2.0
842,10/19/1960,0.5
843,10/20/1960,1.3
844,10/21/1960,0.15
845,10/22/1960,0.15
846,10/23/1960,3.2
847,10/24/1960,1.45
848,10/25/1960,0.65
849,10/26/1960,4.4
850,10/27/1960,NA
851,10/28/1960,NA
852,10/29/1960,3.0
853,10/30/1960,0.7
854,10/31/1960,1.0
855,11/01/1960,NA
856,11/02/1960,0.15
857,11/03/1960,NA
858,11/04/1960,0.35
859,11/05/1960,NA
860,11/06/1960,NA
861,11/07/1960,NA
862,11/08/1960,NA
863,11/09/1960,NA
864,11/10/1960,NA
865,11/11/1960,NA
866,11/12/1960,0.25
867,11/13/1960,0.2
868,11/14/1960,0.6
869,11/15/1960,0.15
870,11/16/1960,NA
871,11/17/1960,NA
872,11/18/1960,1.3
873,11/19/1960,1.1
874,11/20/1960,0.8
875,11/21/1960,0.6
876,11/22/1960,0.3
877,11/23/1960,0.2
878,11/24/1960,0.3
879,11/25/1960,0.2
880,11/26/1960,NA
881,11/27/1960,NA
882,11/28/1960,0.5
883,11/29/1960,0.3
884,11/30/1960,4.5
885,12/01/1960,2.0
886,12/02/1960,0.6
887,12/03/1960,1.1
888,12/04/1960,NA
889,12/05/1960,1.15
890,12/06/1960,NA
891,12/07/1960,0.15
892,12/08/1960,0.4
893,12/09/1960,0.4
894,12/10/1960,NA
895,12/11/1960,NA
896,12/12/1960,0.25
897,12/13/1960,1.35
898,12/14/1960,0.3
899,12/15/1960,NA
900,12/16/1960,1.6
901,12/17/1960,1.65
902,12/18/1960,1.15
903,12/19/1960,4.2
904,12/20/1960,0.7
905,12/21/1960,NA
906,12/22/1960,NA
907,12/23/1960,NA
908,12/24/1960,NA
909,12/25/1960,NA
910,12/26/1960,NA
911,12/27/1960,0.7
912,12/28/1960,1.5
913,12/29/1960,0.4
914,12/30/1960,NA
915,12/31/1960,0.5
916,01/01/1961,2.2
917,01/02/1961,0.2
918,01/03/1961,1.15
919,01/04/1961,0.15
920,01/05/1961,0.1
921,01/06/1961,0.15
922,01/07/1961,0.5
923,01/08/1961,0.3
924,01/09/1961,0.3
925,01/10/1961,0.8
926,01/11/1961,0.2
927,01/12/1961,NA
928,01/13/1961,NA
929,01/14/1961,0.5
930,01/15/1961,NA
931,01/16/1961,NA
932,01/17/1961,0.25
933,01/18/1961,0.1
934,01/19/1961,0.55
935,01/20/1961,1.45
936,01/21/1961,NA
937,01/22/1961,NA
938,01/23/1961,NA
939,01/24/1961,0.75
940,01/25/1961,3.0
941,01/26/1961,1.3
942,01/27/1961,0.4
943,01/28/1961,0.7
944,01/29/1961,0.5
945,01/30/1961,0.3
946,01/31/1961,1.7
947,02/01/1961,0.2
948,02/02/1961,1.3
949,02/03/1961,0.4
950,02/04/1961,0.2
951,02/05/1961,0.2
952,02/06/1961,NA
953,02/07/1961,NA
954,02/08/1961,1.4
955,02/09/1961,0.7
956,02/10/1961,0.15
957,02/11/1961,0.3
958,02/12/1961,NA
959,02/13/1961,0.4
960,02/14/1961,1.1
961,02/15/1961,0.4
962,02/16/1961,NA
963,02/17/1961,1.7
964,02/18/1961,1.7
965,02/19/1961,0.7
966,02/20/1961,0.4
967,02/21/1961,0.8
968,02/22/1961,0.5
969,02/23/1961,NA
970,02/24/1961,1.0
971,02/25/1961,0.4
972,02/26/1961,0.2
973,02/27/1961,0.8
974,02/28/1961,0.8
975,03/01/1961,2.0
976,03/02/1961,0.6
977,03/03/1961,1.2
978,03/04/1961,1.7
979,03/05/1961,1.0
980,03/06/1961,0.9
981,03/07/1961,0.4
982,03/08/1961,0.9
983,03/09/1961,0.9
984,03/10/1961,0.85
985,03/11/1961,0.3
986,03/12/1961,0.85
987,03/13/1961,0.85
988,03/14/1961,7.9
989,03/15/1961,2.4
990,03/16/1961,1.1
991,03/17/1961,NA
992,03/18/1961,3.5
993,03/19/1961,NA
994,03/20/1961,NA
995,03/21/1961,NA
996,03/22/1961,NA
997,03/23/1961,NA
998,03/24/1961,4.5
999,03/25/1961,0.6
1000,03/26/1961,1.7
1001,03/27/1961,1.8
1002,03/28/1961,2.6
1003,03/29/1961,1.9
1004,03/30/1961,0.3
1005,03/31/1961,NA
1006,04/01/1961,0.5
1007,04/02/1961,NA
1008,04/03/1961,NA
1009,04/04/1961,NA
1010,04/05/1961,NA
1011,04/06/1961,0.35
1012,04/07/1961,NA
1013,04/08/1961,0.5
1014,04/09/1961,0.15
1015,04/10/1961,NA
1016,04/11/1961,0.35
1017,04/12/1961,NA
1018,04/13/1961,NA
1019,04/14/1961,0.55
1020,04/15/1961,0.5
1021,04/16/1961,5.65
1022,04/17/1961,0.3
1023,04/18/1961,0.2
1024,04/19/1961,0.3
1025,04/20/1961,NA
1026,04/21/1961,0.3
1027,04/22/1961,2.05
1028,04/23/1961,2.3
1029,04/24/1961,NA
1030,04/25/1961,0.4
1031,04/26/1961,0.3
1032,04/27/1961,NA
1033,04/28/1961,0.15
1034,04/29/1961,NA
1035,04/30/1961,0.1
1036,05/01/1961,0.2
1037,05/02/1961,1.45
1038,05/03/1961,2.5
1039,05/04/1961,0.25
1040,05/05/1961,NA
1041,05/06/1961,0.2
1042,05/07/1961,0.1
1043,05/08/1961,NA
1044,05/09/1961,NA
1045,05/10/1961,0.15
1046,05/11/1961,0.3
1047,05/12/1961,NA
1048,05/13/1961,NA
1049,05/14/1961,NA
1050,05/15/1961,NA
1051,05/16/1961,NA
1052,05/17/1961,1.15
1053,05/18/1961,NA
1054,05/19/1961,NA
1055,05/20/1961,NA
1056,05/21/1961,1.65
1057,05/22/1961,NA
1058,05/23/1961,0.7
1059,05/24/1961,0.25
1060,05/25/1961,NA
1061,05/26/1961,NA
1062,05/27/1961,0.4
1063,05/28/1961,NA
1064,05/29/1961,1.1
1065,05/30/1961,2.4
1066,05/31/1961,NA
1067,06/01/1961,0.4
1068,06/02/1961,0.3
1069,06/03/1961,4.5
1070,06/04/1961,9.0
1071,06/05/1961,0.4
1072,06/06/1961,0.8
1073,06/07/1961,0.45
1074,06/08/1961,NA
1075,06/09/1961,0.4
1076,06/10/1961,0.2
1077,06/11/1961,0.6
1078,06/12/1961,NA
1079,06/13/1961,1.65
1080,06/14/1961,0.6
1081,06/15/1961,NA
1082,06/16/1961,1.1
1083,06/17/1961,0.3
1084,06/18/1961,0.15
1085,06/19/1961,NA
1086,06/20/1961,NA
1087,06/21/1961,NA
1088,06/22/1961,NA
1089,06/23/1961,NA
1090,06/24/1961,NA
1091,06/25/1961,NA
1092,06/26/1961,NA
1093,06/27/1961,0.15
1094,06/28/1961,1.35
1095,06/29/1961,0.2
1096,06/30/1961,NA
1097,07/01/1961,NA
1098,07/02/1961,NA
1099,07/03/1961,NA
1100,07/04/1961,NA
1101,07/05/1961,NA
1102,07/06/1961,NA
1103,07/07/1961,NA
1104,07/08/1961,NA
1105,07/09/1961,NA
1106,07/10/1961,2.2
1107,07/11/1961,0.0
1108,07/12/1961,0.2
