trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size,tweedie_p
57,241.1184300116403,2,1,2880,192,11,48,192,96,0.25,0.0001311839150877072,3.0767711576962156e-06,256,1.6500000000000001
58,242.93568983576287,0,3,3728,128,10,36,64,112,0.2,4.099750571734245e-06,8.254272604187266e-06,1024,1.7000000000000002
59,242.74069719539492,3,4,3984,144,4,20,128,80,0.3,3.828874795587724e-05,1.3738611116234575e-06,256,1.6
60,244.81162160276384,1,2,2768,16,5,12,448,112,0.15000000000000002,2.1071292840036216e-07,3.1108836325703936e-05,256,1.8
61,239.8549008564083,0,2,3232,96,5,48,64,64,0.2,2.004598842484844e-05,0.000156046950112209,1024,1.6
62,240.9062112164139,0,2,2976,112,6,44,64,80,0.15000000000000002,1.1022799727252107e-05,7.092384166464402e-07,1024,1.6500000000000001
63,239.35647692620478,0,3,3120,64,7,40,128,96,0.1,2.3283837732655324e-05,7.086254539973434e-05,1024,1.6
64,244.31556698170047,1,5,3408,80,12,56,320,80,0.25,4.2288902827659284e-05,0.000486370994286102,1024,1.6500000000000001
65,243.25507838462923,0,1,3040,112,3,28,64,48,0.2,7.567189527664393e-06,0.000810077940212951,1024,1.6500000000000001
66,241.80843486628797,1,2,3264,176,5,36,256,96,0.25,2.3301054460699327e-06,0.00030527138161967404,256,1.6
67,243.496807384397,3,3,2688,128,8,44,128,64,0.15000000000000002,0.00018784975045888283,2.2024938521952295e-06,1024,1.6500000000000001
68,238.75680811581037,2,2,3104,160,11,16,64,128,0.0,6.464544548607566e-05,4.7007189499656614e-05,256,1.7000000000000002
69,244.28407456240305,2,1,2832,160,11,16,64,128,0.25,0.0006817783567915345,1.691251350355781e-05,256,1.7000000000000002
70,237.02869977142382,2,2,3120,224,11,16,64,128,0.0,8.570308606917748e-05,4.357685712038349e-05,256,1.7000000000000002
71,248.16163413943391,2,2,3136,240,11,16,64,128,0.05,7.274183887727242e-05,5.098094362802549e-05,256,1.75
72,245.17660131423403,2,2,2928,224,11,12,64,128,0.0,0.00026799461890186034,3.6881352464429924e-05,256,1.7000000000000002
73,238.9316532803514,2,3,2880,208,12,20,64,128,0.0,0.00010476297086895303,2.2429610392487804e-05,256,1.7000000000000002
74,240.7529461932751,2,2,3120,240,10,24,128,128,0.0,5.526967172071752e-05,7.81412580742836e-05,256,1.75
75,236.4603351536011,2,2,3024,192,12,16,64,112,0.0,3.223148072344464e-05,4.836585428782134e-05,256,1.6500000000000001
76,245.1186332774582,3,1,3024,192,12,20,64,112,0.0,2.875550082139688e-05,0.00022230238389534128,256,1.6500000000000001
77,236.36739458281477,1,3,2960,224,12,8,128,112,0.05,0.00012824677530164655,0.00015068940695757644,256,1.6500000000000001
78,242.90612796499394,1,3,2960,224,12,4,384,96,0.0,0.00012901237097713423,0.0001679033959428168,256,1.6500000000000001
79,239.586152039401,1,3,2768,256,12,8,128,112,0.05,0.00047475852082749304,0.00012953657589080672,256,1.6500000000000001
80,238.92298618743095,1,2,2912,208,11,12,64,112,0.05,1.3257453962624972e-05,9.537726666571455e-05,256,1.6500000000000001
81,237.6265132982908,2,3,2992,240,12,8,192,112,0.05,4.6976145229856446e-05,0.00038612454930916787,256,1.6500000000000001
82,245.53858850120466,1,3,3072,240,12,8,192,112,0.05,0.00021523150842769293,0.0004036494491894398,256,1.6500000000000001
83,243.40527758641403,1,3,2992,240,12,4,192,96,0.0,9.956668547912132e-05,0.0002643807318250985,256,1.6500000000000001
84,236.2146731180153,2,2,2848,224,11,8,256,112,0.1,1.772393874747128e-05,0.0005116781294465233,256,1.6500000000000001
85,237.3555249437225,2,3,2848,224,12,8,256,112,0.1,2.8134400581222627e-05,0.0005179490296682632,256,1.6500000000000001
86,237.33892205149004,2,3,2848,224,12,8,256,112,0.1,3.1937591779259205e-05,0.0007642630730278557,256,1.7000000000000002
87,241.19713322974357,2,3,2848,224,11,4,256,112,0.1,1.8129828079615924e-05,0.0007044544968369608,256,1.7000000000000002
88,243.77147458763864,2,3,2640,224,10,12,256,112,0.1,8.950093522112829e-05,0.0005381777916947267,256,1.7000000000000002
89,234.86019123547226,2,4,2768,208,12,8,320,112,0.1,3.14307995527986e-05,0.0009519812345147757,256,1.8
90,238.83864242016784,2,4,2768,224,12,8,320,112,0.1,3.2405575566431774e-05,0.0009439873620714703,256,1.85
91,235.9803048242643,2,3,2720,208,12,12,320,112,0.1,8.055942785384865e-05,0.000496315022904097,256,1.8
92,239.79786350338017,2,3,2704,208,12,4,320,112,0.1,0.00012880462282326342,0.0008156620574723436,256,1.8
93,237.12554145196384,2,4,2560,208,12,8,256,128,0.1,7.563770310069916e-05,0.0006362511428808489,256,1.8
94,238.47541793141718,2,4,2496,208,12,8,256,128,0.1,7.410682848224194e-05,0.0006449887732261418,256,1.8
95,242.48674427067354,2,4,2656,208,12,8,320,128,0.1,0.0004106941863217433,0.0004975867068513287,256,1.8
96,241.28013964644674,2,4,2576,224,12,4,256,128,0.1,5.046888309365195e-05,0.0003349429045872016,256,1.85
97,243.81509943914247,2,4,2400,192,11,12,320,112,0.1,3.6100117102196934e-05,0.0009877987751705669,512,1.8
98,246.57293041265737,2,5,2752,224,12,16,256,128,0.1,0.0002226101731625588,0.0004262177911165167,256,1.8
99,239.2992082805313,2,3,2800,208,12,8,320,112,0.05,2.5167526586902577e-05,0.0006582665437209131,256,1.75
