trial,value,local_dem_cfg,regional_dem_cfg,climate_units,dem_units,dem_patch_size,temporal_units,na,nb,dropout_rate,learning_rate,weight_decay,batch_size
221,237.89087580500248,0,3,2288,160,12,4,480,128,0.05,1.409534661017195e-05,1.8280468613002005e-08,512
222,236.86834829049624,1,3,2304,144,12,4,496,128,0.05,8.23472948200515e-06,2.7204623377812005e-08,512
223,237.6268887749351,1,3,2272,144,12,4,512,16,0.05,8.076343302215255e-06,2.6576521849110898e-08,512
224,239.620727519336,0,3,2320,160,12,4,496,128,0.0,9.576537234610335e-06,1.738611321452649e-08,512
225,237.91526147784955,0,3,2288,176,12,4,496,128,0.05,6.891584690664056e-06,2.3587336132406102e-08,512
226,238.33134643535186,1,3,2320,128,12,8,496,128,0.05,4.538358080779548e-06,2.0141541894552053e-08,512
227,239.81763476102472,0,3,2240,160,12,4,464,128,0.05,8.102120543177902e-06,1.2629685312098382e-08,512
228,240.70123340399485,0,3,3312,144,12,4,480,128,0.05,6.203048979055127e-06,3.0529454340817485e-08,512
229,237.30031515174105,0,3,2304,176,12,8,512,128,0.1,1.4419129739312155e-05,1.685851013321175e-08,512
230,239.2650907814998,0,3,2352,160,12,4,464,128,0.15000000000000002,1.2214183065331019e-05,2.49867235313925e-08,512
231,235.42819671819288,0,3,2272,192,12,4,480,128,0.0,5.087265324716543e-06,1.480201548825835e-08,256
