dataset,status,shape_a,shape_b,mean_abs_diff,max_abs_diff
date_016_1959-11/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/slp,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_016_1959-11/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_016_1959-11/grid_points,only_in_a,"(25, 2)",,,
date_016_1959-11/local_patches,only_in_a,"(25, 3, 3)",,,
date_016_1959-11/month_one_hot,only_in_a,"(12,)",,,
date_016_1959-11/rainfall,only_in_a,"(25,)",,,
date_016_1959-11/regional_patches,only_in_a,"(25, 3, 3)",,,
date_017_1959-12/climate_vars/air_2m,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/hgt_500,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/merid_moist_700,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/merid_moist_925,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/omega_500,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/pottmp_diff_1000_500,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/pottmp_diff_1000_850,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/pr_wtr,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/shum_700,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/shum_925,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/skin_temp,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/slp,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/zon_moist_700,only_in_a,"(25,)",,,
date_017_1959-12/climate_vars/zon_moist_925,only_in_a,"(25,)",,,
date_017_1959-12/grid_points,only_in_a,"(25, 2)",,,
date_017_1959-12/local_patches,only_in_a,"(25, 3, 3)",,,
date_017_1959-12/month_one_hot,only_in_a,"(12,)",,,
date_017_1959-12/rainfall,only_in_a,"(25,)",,,
date_017_1959-12/regional_patches,only_in_a,"(25, 3, 3)",,,
date_018_1960-01/climate_vars/air_2m,only_in_a,"(25,)",,,
date_018_1960-01/climate_vars/air_temp_diff_1000_500,only_in_a,"(25,)",,,
date_018_1960-01/climate_vars/hgt_1000,only_in_a,"(25,)",,,
date_018_1960-01/climate_vars/hgt_500,only_in_a,"(25,)",,,
