,datetime,precip_in
705,6/4/1960,NA
706,6/5/1960,NA
707,6/6/1960,NA
708,6/7/1960,NA
709,6/8/1960,NA
710,6/9/1960,NA
711,6/10/1960,NA
712,6/11/1960,NA
713,6/12/1960,NA
714,6/13/1960,NA
715,6/14/1960,NA
716,6/15/1960,NA
717,6/16/1960,NA
718,6/17/1960,NA
719,6/18/1960,NA
720,6/19/1960,NA
721,6/20/1960,NA
722,6/21/1960,NA
723,6/22/1960,NA
724,6/23/1960,NA
725,6/24/1960,NA
726,6/25/1960,NA
727,6/26/1960,NA
728,6/27/1960,NA
729,6/28/1960,NA
730,6/29/1960,NA
731,6/30/1960,NA
732,7/1/1960,NA
733,7/2/1960,NA
734,7/3/1960,NA
735,7/4/1960,NA
736,7/5/1960,NA
737,7/6/1960,NA
738,7/7/1960,NA
739,7/8/1960,NA
740,7/9/1960,NA
741,7/10/1960,NA
742,7/11/1960,NA
743,7/12/1960,NA
744,7/13/1960,NA
745,7/14/1960,NA
746,7/15/1960,NA
747,7/16/1960,NA
748,7/17/1960,NA
749,7/18/1960,NA
750,7/19/1960,NA
751,7/20/1960,NA
752,7/21/1960,NA
753,7/22/1960,NA
754,7/23/1960,NA
755,7/24/1960,NA
756,7/25/1960,NA
757,7/26/1960,NA
758,7/27/1960,NA
759,7/28/1960,NA
760,7/29/1960,NA
761,7/30/1960,NA
762,7/31/1960,NA
763,8/1/1960,NA
764,8/2/1960,NA
765,8/3/1960,NA
766,8/4/1960,NA
767,8/5/1960,NA
768,8/6/1960,NA
769,8/7/1960,NA
770,8/8/1960,NA
771,8/9/1960,NA
772,8/10/1960,NA
773,8/11/1960,NA
774,8/12/1960,NA
775,8/13/1960,NA
776,8/14/1960,NA
777,8/15/1960,NA
778,8/16/1960,NA
779,8/17/1960,NA
780,8/18/1960,NA
781,8/19/1960,NA
782,8/20/1960,NA
783,8/21/1960,NA
784,8/22/1960,NA
785,8/23/1960,NA
786,8/24/1960,NA
787,8/25/1960,NA
788,8/26/1960,NA
789,8/27/1960,NA
790,8/28/1960,NA
791,8/29/1960,NA
792,8/30/1960,NA
793,8/31/1960,NA
794,9/1/1960,NA
795,9/2/1960,NA
796,9/3/1960,NA
797,9/4/1960,NA
798,9/5/1960,NA
799,9/6/1960,NA
800,9/7/1960,NA
801,9/8/1960,NA
802,9/9/1960,NA
803,9/10/1960,NA
804,9/11/1960,NA
805,9/12/1960,NA
806,9/13/1960,NA
807,9/14/1960,NA
808,9/15/1960,NA
809,9/16/1960,NA
810,9/17/1960,NA
811,9/18/1960,NA
812,9/19/1960,NA
813,9/20/1960,NA
814,9/21/1960,NA
815,9/22/1960,NA
816,9/23/1960,NA
817,9/24/1960,NA
818,9/25/1960,NA
819,9/26/1960,NA
820,9/27/1960,NA
821,9/28/1960,NA
822,9/29/1960,NA
823,9/30/1960,NA
824,10/1/1960,NA
825,10/2/1960,0.25
826,10/3/1960,NA
827,10/4/1960,NA
828,10/5/1960,NA
829,10/6/1960,NA
830,10/7/1960,0.5
831,10/8/1960,NA
832,10/9/1960,NA
833,10/10/1960,NA
834,10/11/1960,NA
835,10/12/1960,2.3
836,10/13/1960,NA
837,10/14/1960,NA
838,10/15/1960,NA
839,10/16/1960,0.5
840,10/17/1960,NA
841,10/18/1960,2
842,10/19/1960,0.5
843,10/20/1960,1.3
844,10/21/1960,0.15
845,10/22/1960,0.15
846,10/23/1960,3.2
847,10/24/1960,1.45
848,10/25/1960,0.65
849,10/26/1960,4.4
850,10/27/1960,NA
851,10/28/1960,NA
852,10/29/1960,3
853,10/30/1960,0.7
854,10/31/1960,1
855,11/1/1960,NA
856,11/2/1960,0.15
857,11/3/1960,NA
858,11/4/1960,0.35
859,11/5/1960,NA
860,11/6/1960,NA
861,11/7/1960,NA
862,11/8/1960,NA
863,11/9/1960,NA
864,11/10/1960,NA
865,11/11/1960,NA
866,11/12/1960,0.25
867,11/13/1960,0.2
868,11/14/1960,0.6
869,11/15/1960,0.15
870,11/16/1960,NA
871,11/17/1960,NA
872,11/18/1960,1.3
873,11/19/1960,1.1
874,11/20/1960,0.8
875,11/21/1960,0.6
876,11/22/1960,0.3
877,11/23/1960,0.2
878,11/24/1960,0.3
879,11/25/1960,0.2
880,11/26/1960,NA
881,11/27/1960,NA
882,11/28/1960,0.5
883,11/29/1960,0.3
884,11/30/1960,4.5
885,12/1/1960,2
886,12/2/1960,0.6
887,12/3/1960,1.1
888,12/4/1960,NA
889,12/5/1960,1.15
890,12/6/1960,NA
891,12/7/1960,0.15
892,12/8/1960,0.4
893,12/9/1960,0.4
894,12/10/1960,NA
895,12/11/1960,NA
896,12/12/1960,0.25
897,12/13/1960,1.35
898,12/14/1960,0.3
899,12/15/1960,NA
900,12/16/1960,1.6
901,12/17/1960,1.65
902,12/18/1960,1.15
903,12/19/1960,4.2
904,12/20/1960,0.7
905,12/21/1960,NA
906,12/22/1960,NA
907,12/23/1960,NA
908,12/24/1960,NA
909,12/25/1960,NA
910,12/26/1960,NA
911,12/27/1960,0.7
912,12/28/1960,1.5
913,12/29/1960,0.4
914,12/30/1960,NA
915,12/31/1960,0.5
916,1/1/1961,2.2
917,1/2/1961,0.2
918,1/3/1961,1.15
919,1/4/1961,0.15
920,1/5/1961,0.1
921,1/6/1961,0.15
922,1/7/1961,0.5
923,1/8/1961,0.3
924,1/9/1961,0.3
925,1/10/1961,0.8
926,1/11/1961,0.2
927,1/12/1961,NA
928,1/13/1961,NA
929,1/14/1961,0.5
930,1/15/1961,NA
931,1/16/1961,NA
932,1/17/1961,0.25
933,1/18/1961,0.1
934,1/19/1961,0.55
935,1/20/1961,1.45
936,1/21/1961,NA
937,1/22/1961,NA
938,1/23/1961,NA
939,1/24/1961,0.75
940,1/25/1961,3
941,1/26/1961,1.3
942,1/27/1961,0.4
943,1/28/1961,0.7
944,1/29/1961,0.5
945,1/30/1961,0.3
946,1/31/1961,1.7
947,2/1/1961,0.2
948,2/2/1961,1.3
949,2/3/1961,0.4
950,2/4/1961,0.2
951,2/5/1961,0.2
